MSA,year,code,count,count_patient,prevalence
17460,2017,P00-P96,1217,111067,0.010957350067976986
17460,2017,Q00-Q99,2855,111067,0.025705204966371648
17460,2017,R00-R99,59071,111067,0.5318501445073694
17460,2017,S00-T88,21835,111067,0.1965930474398336
17460,2017,V00-Y99,5734,111067,0.05162649571880036
17460,2017,Z00-Z99,83557,111067,0.7523116677320897
17460,2018,A00-B99,14597,97317,0.14999434836667797
17460,2018,C00-D49,12728,97317,0.1307890707687249
17460,2018,D50-D89,6248,97317,0.06420255453826156
17460,2018,E00-E89,32901,97317,0.3380807053238386
17460,2018,F01-F99,25645,97317,0.2635202482608383
17460,2018,G00-G99,17452,97317,0.1793314631564886
17460,2018,H00-H59,13716,97317,0.1409414593544807
17460,2018,H60-H95,11450,97317,0.11765673006771685
17460,2018,I00-I99,22751,97317,0.233782381290011
17460,2018,J00-J99,35563,97317,0.3654346106024641
17460,2018,K00-K95,18689,97317,0.19204250028258166
17460,2018,L00-L99,22441,97317,0.23059691523577586
17460,2018,M00-M99,33730,97317,0.3465992580946803
17460,2018,N00-N99,20396,97317,0.20958311497477317
17460,2018,O00-O9A,2796,97317,0.02873084866981103
17460,2018,P00-P96,1225,97317,0.01258772876270333
17460,2018,Q00-Q99,2595,97317,0.02666543358303277
17460,2018,R00-R99,51694,97317,0.5311918780891314
17460,2018,S00-T88,18761,97317,0.19278235046292014
17460,2018,V00-Y99,4781,97317,0.049128107113865
17460,2018,Z00-Z99,75257,97317,0.7733181253018486
17460,2019,A00-B99,12179,83667,0.14556515711092785
17460,2019,C00-D49,11452,83667,0.1368759487013996
17460,2019,D50-D89,5559,83667,0.06644196636666787
17460,2019,E00-E89,28522,83667,0.34089904024286755
17460,2019,F01-F99,23066,83667,0.27568814466874636
17460,2019,G00-G99,15595,83667,0.18639367970645535
17460,2019,H00-H59,11878,83667,0.14196756188222356
17460,2019,H60-H95,10325,83667,0.12340588284508827
17460,2019,I00-I99,19636,83667,0.23469229206258144
17460,2019,J00-J99,30087,83667,0.3596041450034064
17460,2019,K00-K95,16207,83667,0.19370839160003347
17460,2019,L00-L99,19538,83667,0.23352098198811957
17460,2019,M00-M99,29179,83667,0.3487515985992088
17460,2019,N00-N99,17373,83667,0.20764459105740615
17460,2019,O00-O9A,2256,83667,0.026964035999856573
17460,2019,P00-P96,921,83667,0.011007924271218043
17460,2019,Q00-Q99,2288,83667,0.02734650459559922
17460,2019,R00-R99,45084,83667,0.538850442826921
17460,2019,S00-T88,16261,83667,0.19435380735534918
17460,2019,V00-Y99,3712,83667,0.04436635710614699
17460,2019,Z00-Z99,66181,83667,0.7910048167138777
17460,2020,A00-B99,9563,66306,0.14422525864929267
17460,2020,C00-D49,8286,66306,0.12496606641932857
17460,2020,D50-D89,4496,66306,0.0678068349772268
17460,2020,E00-E89,22396,66306,0.33776732120773384
17460,2020,F01-F99,18336,66306,0.27653606008506015
17460,2020,G00-G99,12277,66306,0.18515669773474497
17460,2020,H00-H59,7926,66306,0.11953669351189937
17460,2020,H60-H95,5651,66306,0.0852260730552288
17460,2020,I00-I99,15345,66306,0.2314270201791693
17460,2020,J00-J99,19002,66306,0.2865803999638042
17460,2020,K00-K95,11976,66306,0.18061713872047777
17460,2020,L00-L99,14257,66306,0.21501824872560552
17460,2020,M00-M99,21680,66306,0.32696890175851356
17460,2020,N00-N99,12874,66306,0.19416040780623173
17460,2020,O00-O9A,1821,66306,0.027463577956745994
17460,2020,P00-P96,789,66306,0.011899375622115646
17460,2020,Q00-Q99,1638,66306,0.024703646728802823
17460,2020,R00-R99,34565,66306,0.52129520707025
17460,2020,S00-T88,11520,66306,0.17373993303773413
17460,2020,U00-U85,2249,66306,0.033918499080022924
